LDAP_CODE,부서1,부서2,부서3,부서4,부서5,부서6,공무원_종류,직급,정원수
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,서기관 또는 행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,행정 또는 통계사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,행정·공업·보건·시설 또는 전산사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,행정주사,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,행정주사,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,행정주사,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과,일반직,사무운영서기보,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과,일반직,서기관 또는 과학기술서기관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과,일반직,서기관 또는 행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과,일반직,행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과,일반직,행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과,일반직,행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과,일반직,행정주사,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과,일반직,행정주사,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과,일반직,행정주사보,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과,일반직,행정주사보,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과,일반직,서기관 또는 과학기술서기관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과,일반직,서기관 또는 행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과,일반직,행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과,일반직,행정사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과,일반직,행정 또는 통계사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과,일반직,행정·공업·보건·시설 또는 전산사무관,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과,일반직,행정주사,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과,일반직,행정주사보,1
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과,일반직,행정주사보,1
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책과,일반직,부이사관·서기관 또는 과학기술서기관,1
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책과,일반직,서기관 또는 행정사무관,1
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책과,일반직,서기관 또는 행정사무관,1
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책과,일반직,행정사무관,1
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책과,일반직,행정사무관,1
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책과,일반직,행정주사,1
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책과,일반직,행정주사,1
